

============================== EXP at 2025-03-13 07:54:13 ==============================
dev | avg_loss: 2.246177572106558 | {}
train | epoch   0 | Iter:    144/ 10950 | global iter:     25/  1825 | loss: 0.2740 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.600 | step time: 8.811
train | epoch   0 | Iter:    145/ 10950 | global iter:     25/  1825 | loss: 0.0055 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.478 | step time: 0.059
train | epoch   0 | Iter:    146/ 10950 | global iter:     25/  1825 | loss: 0.0054 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    147/ 10950 | global iter:     25/  1825 | loss: 0.0003 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    148/ 10950 | global iter:     25/  1825 | loss: 0.0018 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    149/ 10950 | global iter:     25/  1825 | loss: 0.0040 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    294/ 10950 | global iter:     50/  1825 | loss: 0.2867 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.707
train | epoch   0 | Iter:    295/ 10950 | global iter:     50/  1825 | loss: 0.0032 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:    296/ 10950 | global iter:     50/  1825 | loss: 0.0010 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    297/ 10950 | global iter:     50/  1825 | loss: 0.0008 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    298/ 10950 | global iter:     50/  1825 | loss: 0.0012 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    299/ 10950 | global iter:     50/  1825 | loss: 0.0004 | ds_loss: 0.0000 | lr: 9.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
