

============================== EXP at 2025-03-13 11:33:06 ==============================


============================== EXP at 2025-03-13 11:33:06 ==============================
dev | avg_loss: 1.7000080366288461 | {}
train | epoch   0 | Iter:    144/ 10950 | global iter:     25/  1825 | loss: 0.1229 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.596 | step time: 8.735
train | epoch   0 | Iter:    145/ 10950 | global iter:     25/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.476 | step time: 0.059
train | epoch   0 | Iter:    146/ 10950 | global iter:     25/  1825 | loss: 0.0007 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    147/ 10950 | global iter:     25/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    148/ 10950 | global iter:     25/  1825 | loss: 0.0010 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    149/ 10950 | global iter:     25/  1825 | loss: 0.0003 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.483 | step time: 0.059
train | epoch   0 | Iter:    294/ 10950 | global iter:     50/  1825 | loss: 0.1241 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.599 | step time: 8.705
train | epoch   0 | Iter:    295/ 10950 | global iter:     50/  1825 | loss: 0.0017 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.477 | step time: 0.059
train | epoch   0 | Iter:    296/ 10950 | global iter:     50/  1825 | loss: 0.0006 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    297/ 10950 | global iter:     50/  1825 | loss: 0.0002 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    298/ 10950 | global iter:     50/  1825 | loss: 0.0028 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    299/ 10950 | global iter:     50/  1825 | loss: 0.0005 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.482 | step time: 0.059
train | epoch   0 | Iter:    444/ 10950 | global iter:     75/  1825 | loss: 0.1274 | ds_loss: 0.0000 | lr: 7.0000e-05 | scale:     1.0000 | micro time: 1.600 | step time: 8.848
